4,11,23,32,14,14,9,0,4,10,26,39,69,17,9,3,15,14,26,21,49,18,34,56,67,44,30,32,34,13,23,33,111,87,83,77,65,76,82,99,123,53,85,69,105,74,30,4,24,102,48,0,13,84,53,4,38,54,10,30,43,21,5,39,8,11,23,0,15,35,19,20,53,23,48,58,61,187,211,179,224,251,159,114,112,29,23,21,6,6,0,1,7,2,18,9,13,16,29,29,62,67,83,118,69,66,41,0,0,0,0,8,1,0,0,0,4,1,2,0,0,0,12,2,16,36,79,87,33,47,51,19,25,2,8,2,22,8,1,6,4,0,2,0,6,5,0,29,40,59,63,24,26,12,20,23,13,68,71,114,64,36,42,17,29,24,60,0,26,5,0,0,4,0,0,4,31,18,0,0,0,0,0,6,7,0,0,0,0,0,0,4,2,0,21,0,0,0,0,0,0,0,0,0,2,0,0,2,6,5,0,0,0,13,15,30,24,142,66,50,48,80,86,99,113,150,211,54,52,107,71,33,66,191,112,36,8,63,74,88,78,198,200,475,309,297,210,104,159,215,190,283,274,268,339,254,354,180,257,278,358,501,661,890,536,706,624,724,467,559,809,551,880,780,865,818,637,710,602,748,487,602,911,1033,417,592,450,406
440,214,193,139,238,339,842,315,343,448,574,247,146,77,213,161,397,541,687,783,1014,1250,1443,772,578,602,335,411,531,383,532,488,526,524,475,354,452,431,580,1078,1130,1395,991,1412,770,720,579,706,542,413,367,297,392,192,216,255,129,248,311,502,721,644,1003,934,697,664,476,335,487,471,303,317,380,186,217,264,273,398,656,664,1030,1331,1819,2188,1549,1096,855,902,854,763,660,767,744,676,517,574,570,789,885,1017,1317,1691,2104,2095,1614,1374,1477,1010,925,1153,837,742,695,785,729,664,731,813,1184,1366,1465,1239,891,808,938,494,379,420,262,345,331,338,252,480,391,496,423,483,383,415,279,115,229,294,291,215,192,135,126,139,115,92,147,115,96,199,288,259,353,376,149,78,62,43,13,0,3,0,3,1,4,11,0,0,28,11,26,33,44,10,2,137,169,156,129,42,20,52,35,27,28,4,14,0,6,20,2,0,4,35,41,35,39,26,55,46,33,81,15,29,51,41,85,70,26,108,121,121,141,35,21,29,78,71,120,43,103,24,54,51,162,117,76,94,75,227,236,222,397,544,577,441,407,262,185,202,176,310,352,203,99,91,53,56,142,67,62,88,96,90,151,118,143,135,77,184,278,160,95,49,2,9,0,10,32,1,20,15,10,13,16,16,48,0,0,11,29,0
19,0,10,10,25,18,62,30,8,0,0,7,0,0,45,41,133,117,101,67,16,4,2,7,46,61,56,11,0,4,0,4,0,0,9,6,0,0,0,2,20,20,35,57,85,104,139,87,24,38,24,8,147,209,270,317,219,151,118,112,72,137,5,2,10,7,63,60,162,125,80,22,43,45,69,4,6,1,4,40,91,157,128,16,10,72,41,21,38,29,71,5,4,3,5,25,38,61,49,18,63,20,18,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,0,8,3,0,16,23,7,36,34,27,28,39,22,35,57,101,117,126,76,35,23,24,25,10,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,9,0,0,0,0,0,0,0,0,0,11,14,21,19,35,49,66,21,29,25,33,4,26,25,29,19,0,0,16,9,0,0,0,0,0,0,0,22,32,30,46,41,54,83,39,43,42,51,42,6,10,12,51,34,26,0,3,2,6,14,4,0,6,40,86,130,88,79,41,16,32,18,15,33,10,38,140,235,233,168,73,135,41,48,50,213,235,346,152,165,70,53,39,117,272,204,137,25,60,76,120,174,172,101,59,60,157,318,256,54,55,48,111,235,226,175,89,119,54,130,144,57
76,20,20,18,49,55,104,11,9,29,113,140,0,4,14,2,36,103,33,87,0,46,121,161,384,236,151,115,164,202,354,407,290,232,216,250,194,291,394,465,263,211,200,252,341,551,348,283,331,318,305,245,473,467,465,345,263,286,265,221,265,297,429,361,223,221,225,273,329,417,651,397,425,218,223,99,75,259,300,417,283,89,74,90,210,249,453,587,209,182,194,200,275,349,299,356,182,86,40,36,143,254,177,68,36,7,0,7,40,7,51,47,18,25,26,22,34,60,85,47,14,11,11,0,0,0,0,3,30,43,17,14,21,20,5,0,1,0,0,0,6,0,1,0,0,0,0,0,10,0,0,0,0,0,0,4,0,0,7,14,15,18,18,21,21,17,34,6,0,0,0,6,12,11,21,8,1,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,17,8,19,3,20,0,0,12,6,42,33,49,30,36,61,21,31,3,6,33,8,10,12,11,34,41,26,36,13,46,33,47,55,101,78,56,138,220,221,204,478,454,700,613,690,545,679,476,378,457,407,473,658,810,1003,1442,1289,860,498,494,661,467,535,853,1163,1288,1342,1274,927,980,741,1257,1971,2096,1923,1360,1071,1069,1307,1781,1966,2487,2171,1477,1505,1278,1722,2237
2098,2014,1533,1419,1248,1658,2571,2686,2310,1999,1831,1658,1729,3605,3395,2446,1788,1592,2499,3065,3734,2291,1770,1419,1611,2480,2843,2525,1410,1350,1469,2917,3018,1767,1267,745,861,2483,3072,2220,1443,1350,1952,2542,2704,1461,1278,1271,1768,2127,2500,1743,976,885,1534,1877,2083,1316,653,670,624,1339,1897,1197,828,866,931,1283,1585,1257,727,382,219,525,1037,1119,789,511,331,426,692,973,816,432,405,353,857,1193,1525,808,438,453,389,349,1083,1193,614,359,380,356,585,802,1166,549,413,353,210,594,1032,951,502,359,283,157,451,703,488,165,65,120,165,191,345,257,235,87,173,106,43,63,30,62,21,30,31,22,37,89,236,241,100,141,130,217,142,172,111,53,166,63,142,76,41,61,139,108,93,162,104,135,69,60,20,91,120,191,212,215,335,151,374,187,340,216,506,705,619,465,427,283,237,211,307,308,365,360,326,359,295,229,460,832,989,954,848,679,389,318,314,334,339,364,311,358,504,677,995,900,666,548,523,435,528,471,609,543,600,685,953,1837,1535,1013,575,550,726,1035,1336,1520,1870,2259,2938,3457,2834,2405,1903,2203,2258,2109,1991,2263,2715,3239,3331,3121,2118,2076,2135,2474,2438,2511,3113,3566,4191,4437,3214,2425,2665,2646,2999,3294,3531,3270,4364,4048,3804,2769,2710,2802,3094,3492,3533,4535,4597,4428,3606,2763,3372,3101,3327,3220,3702,4445,5676,5074,3813,4182,4424,4279
4962,4894,6726,6575,5700,4592,4448,4974,4313,4205,5227,6741,6796,6164,5012,5073,5325,5039,5378,6059,7668,7533,4809,5203,4691,5404,5980,6290,5645,5758,4784,4623,4880,4966,5241,5355,6582,7396,6189,4171,4027,4270,4710,5156,5196,6734,6097,3730,3583,3774,3747,4388,4568,5598,5238,3271,2610,3069,3556,3009,3222,3954,4606,2525,1707,2272,2127,2804,2832,3710,3815,2481,1550,1693,1200,1609,2075,2811,2381,1459,1390,1928,1882,2248,2441,3520,2860,1756,1812,2812,1962,2211,2437,3054,2289,1719,1480,1853,1955,2244,2775,3158,2778,2409,2136,2150,2209,2552,3980,3494,2580,2390,2535,2723,2952,3123,4464,3213,2758,2853,2697,2449,3114,3843,3798,3009,2679,2876,3221,3011,3559,4073,4004,3132,2787,2979,2949,3167,4338,4412,3190,2845,3126,3323,3716,3703,4597,4186,2842,3153,2971,3344,3492,4418,3650,2718,2979,3232,3276,3738,4670,3495,2958,2551,3062,3258,3763,3759,2849,2428,2298,2713,3017,4086,3154,2621,2326,2396,2696,4275,3447,2653,2721,2520,2433,2932,3271,2241,1881,1993,1947,2907,2886,1687,1832,1711,1980,1936,3190,2423,1832,1545,1719,1789,2864,2276,1344,1523,1398,1581,2218,2707,1735,1666,1712,2043,1983,2921,1900,1477,1519,1588,2415,2911,1863,2049,2125,2562,3712,2684,1894,1491,2117,2368,2684,1287,1359,1541,1837,2216,1683,739,726,897,1197,1928,364,536,570,1006,1268,962,515,419,573,828,1304,516,199,144,423,871,231,249,271,439,656,742,371,448,451,411,932,386,423,446,578,1369,627,382,360,574,856,913,283,327,353,446
740,304,193,325,267,539,641,360,326,318,457,541,126,26,17,65,271,17,30,18,29,54,59,5,8,37,66,171,2,49,21,39,172,25,22,20,40,277,125,33,46,15,46,65,29,38,23,90,44,13,7,78,89,68,6,32,36,92,52,14,41,38,123,78,25,69,71,172,112,120,108,121,321,175,89,142,127,199,94,90,99,234,347,208,208,215,185,355,176,195,170,303,402,84,175,123,215,391,187,222,165,316,492,259,221,256,341,449,171,146,208,219,326,173,156,221,404,237,150,187,148,294,63,50,5,2,92,0,1,18,29,40,32,25,27,8,32,17,20,54,89,14,23,57,49,120,68,83,86,123,137,76,81,91,106,146,45,78,48,97,123,27,4,0,27,50,0,0,0,10,35,14,0,0,0,0,6,0,0,4,0,18,5,0,0,0,6,7,2,11,8,0,0,0,0,0,5,0,6,0,0,0,0,0,0,0,0,0,0,0,0,10,6,0,0,4,4,7,8,0,28,19,67,4,9,56,68,183,49,43,79,91,220,50,75,60,237,350,94,98,109,104,302,134,55,101,122,306,105,34,4,201,272,89,108,142,159,489,81,67,140,146,573,90,78,26,16,260,97,40,206,131,336,43,104,24,89,260,50,29,50,105,263,70,57,67,138,239
79,74,67,67,166,16,44,16,90,180,26,20,55,79,253,245,22,58,81,57,43,115,165,119,24,23,44,61,75,187,341,247,111,23,26,96,33,21,36,45,156,219,188,119,6,10,3,4,0,6,12,0,16,0,4,0,0,9,4,0,0,0,0,14,20,25,8,34,12,6,0,18,0,13,50,25,25,2,6,15,31,54,41,41,25,12,2,5,7,0,0,0,0,0,0,0,0,4,55,20,7,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,6,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,26,46,0,0,2,88,90,10,6,34,49,96,56,11,4,4,23,47,44,24,12,9,0,17,13,18,50,12,28,7,5,0,6,0,33,12,0,59,21,67,106,40,34,12,14,2,0,0,0,0,3,0,2,0,0,0,0,0,0,0,13,35,0,19
18,8,2,2,28,12,32,10,4,0,30,50,113,56,65,45,56,12,10,45,3,31,15,6,5,0,0,8,4,24,0,0,4,0,26,8,2,0,3,69,44,15,36,21,44,25,11,23,14,0,0,0,1,0,0,25,25,22,11,2,0,2,0,5,0,29,46,84,114,116,29,28,11,9,13,0,17,32,6,25,45,53,25,21,21,2,23,13,18,83,36,42,44,9,9,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,2,13,13,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,4,0,0,0,0,1,8,0,0,0,0,0,8,0,0,0,0,0,7,14,0,0,0,0,12,29,21,21,10,45,25,210,190,47,76,84,57,87,213,115,53,46,77,166,218,82,17,130,126,107,197,99,55,81,83,197,254,91,10,60,47,97,82,108,44,31,7,12,36,97,8,5,17,81,148,92,66,95,135,156,273,218,119,167,118,225,424
261,147,165,229,269,449,188,189,151,217,300,259,179,135,204,212,299,306,248,218,189,189,411,220,181,205,174,241,280,145,195,124,163,321,227,220,221,172,285,368,125,93,118,148,319,224,168,63,156,154,370,117,71,80,179,192,261,29,62,151,230,319,74,104,35,76,120,180,37,39,46,89,229,66,26,34,92,105,139,89,52,43,166,52,342,251,64,21,10,108,323,416,350,219,227,194,159,182,197,394,103,37,34,26,2,77,172,2,0,0,0,17,9,122,5,6,5,9,5,16,29,19,21,2,0,0,0,0,0,0,4,0,6,11,37,1,6,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,10,6,0,0,0,0,0,0,0,0,0,0,0,8,32,8,0,0,0,0,0,0,2,0,0,4,0,8,12,15,6,16,2,0,0,33,29,42,20,31,70,63,116,220,107,119,132,129,189,221,211,133,94,140,153,264,298,143,165,131,134,143,219,352,249,215,173,211,147,254,355,390,84,185,178,142,80,205,235,169,200,193,178,196,133,183,116,68,73,55,60,88,55,142,259,126,45,48,46
